id,codigo,nome,nivel,tipo,plano_pai_id,ativo,criado_em,atualizado_em,referencia
211,2.01.01,MATERIAIS E SERVIÇOS APLICADOS NAS OBRAS E PROJETOS,3,Ambos,200,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
212,2.02.01,MÃO DE OBRA PRÓPRIA/ PRÓ-LABORE,3,Ambos,201,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
213,2.02.02,ASSESSORIAS FIXAS MENSAIS,3,Ambos,201,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
214,2.02.03,ADMINISTRATIVO/LOCALIZAÇÃO E DEMAIS FIXOS,3,Ambos,201,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
215,2.02.04,IMPOSTOS SOBRE PROPRIEDADES,3,Ambos,201,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
216,2.03.01,RELACIONADAS A MÃO DE OBRA,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
217,2.03.02,IMPOSTOS NÃO RELACIONADOS A MÃO DE OBRA,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
218,2.03.03,MANUTENÇÕES,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
219,2.03.04,AQUISIÇÕES,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
220,2.03.05,GASTOS SOCIETÁRIOS,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
221,2.03.06,DESPESAS JUDICIAIS,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
222,2.03.07,COMERCIAL,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
223,2.03.08,DESPESAS VEÍCULOS,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
224,2.03.09,TRANSPORTE/ VIAGENS,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
225,2.03.10,DESPESAS FINANCEIRAS,3,Ambos,202,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
226,2.04.01,DEVOLUÇÕES/ REEMBOLSOS / AJUSTES SITEMA,3,Ambos,203,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
227,1.01.01.01,Receitas de Obras Privadas,4,Ambos,204,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
228,1.01.01.02,Receitas de Obras Empreendimento,4,Ambos,204,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
229,1.01.01.03,Receitas de Projetos,4,Ambos,204,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
230,1.01.01.05,Receitas de Locação,4,Ambos,204,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
231,1.02.01.01,Aporte de Sócio,4,Ambos,205,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
232,1.02.01.02,Financiamento de Capital de Giro,4,Ambos,205,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
233,1.02.04.01,Receita de Venda de Produto,4,Ambos,206,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
234,1.03.01.01,Receita de Aplicações Financeiras,4,Ambos,207,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
235,1.03.03.02,Multas e Acréscimos Recebidos,4,Ambos,208,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
236,1.04.01.03,IRRF PJ,4,Ambos,209,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
237,1.04.01.04,INSS,4,Ambos,209,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
238,1.04.02.01,(-) ISS s/ Serviços,4,Ambos,210,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
239,1.04.02.02,(-) IRRF s/ Faturamento,4,Ambos,210,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
240,1.04.02.05,Sinal Recebido de Clientes,4,Ambos,210,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
241,1.04.02.06,Seguros,4,Ambos,210,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
242,1.04.02.07,(-) Anulação de Receitas,4,Ambos,210,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
243,2.01.01.01,Aquisição de Bens Imóveis - Terrenos,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
244,2.01.01.02,Diárias,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
245,2.01.01.03,Insumos,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
246,2.01.01.04,Locação de Equipamentos  - Hora ou Diária,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
247,2.01.01.05,Serviços Terceirizados e Empreiteiros,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
248,2.01.01.06,"Despesas com Legalizações, Impressões e taxas",4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
249,2.01.01.07,Projetos,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
250,2.01.01.08,Fretes,4,Ambos,211,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
251,2.02.01.01,Salários e Ordenados,4,Ambos,212,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
252,2.02.01.02,Benefícios,4,Ambos,212,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
253,2.02.01.04,INSS,4,Ambos,212,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
254,2.02.01.05,Férias,4,Ambos,212,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
255,2.02.01.06,13º Salário,4,Ambos,212,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
256,2.02.02.01,Assessoria Jurídica,4,Ambos,213,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
257,2.02.02.02,Assessoria Contábil,4,Ambos,213,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
258,2.02.02.03,FGTS,4,Ambos,213,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
259,2.02.02.04,Consultorias Diversas,4,Ambos,213,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
260,2.02.03.01,Aluguéis,4,Ambos,214,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
261,2.02.03.02,Consumo mensal (Água /Energia /Internet/ Telefones),4,Ambos,214,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
262,2.02.03.03,Softwares mensais,4,Ambos,214,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
263,2.02.03.04,"Taxa Anual  de Conselhos de Classe (CREA, CRA)",4,Ambos,214,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
264,2.02.04.01,IPTU,4,Ambos,215,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
265,2.02.04.02,IPVA,4,Ambos,215,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
266,2.02.04.03,Licenciamento ,4,Ambos,215,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
267,2.03.01.01,Gastos Rescisórios e Contratação,4,Ambos,216,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
268,2.03.01.02,Custeio de Treinamento,4,Ambos,216,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
269,2.03.01.03,Confraternização,4,Ambos,216,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
270,2.03.01.04,Riscos e Imprevistos com Mão de Obra,4,Ambos,216,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
271,2.03.02.01,DAS (Simples),4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
272,2.03.02.02,Contribuições Previdenciárias,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
273,2.03.02.03,Impostos Federais,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
274,2.03.02.04,ISS,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
275,2.03.02.05,COFINS,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
276,2.03.02.06,PIS,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
277,2.03.02.07,IRRF Terceiros PF,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
278,2.03.02.08,Impostos Municipais,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
279,2.03.02.09,Impostos Estaduais,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
280,2.03.02.10,IOF,4,Ambos,217,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
281,2.03.03.01,Despesas com Escritório,4,Ambos,218,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
282,2.03.03.02," Mudanças, Manutenção e Obras",4,Ambos,218,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
283,2.03.03.03, Manutenção Preventiva/Corretiva,4,Ambos,218,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
284,2.03.04.01, Aquisição de Equipamentos e Veículos,4,Ambos,219,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
285,2.03.04.02, Móveis e Utensílios,4,Ambos,219,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
286,2.03.04.03, Material de Escritório,4,Ambos,219,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
287,2.03.04.04, Equipamentos Eletrônicos Diversos,4,Ambos,219,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
288,2.03.04.05, Consorcio,4,Ambos,219,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
289,2.03.05.01, Dividendos,4,Ambos,220,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
290,2.03.05.02, Doações,4,Ambos,220,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
291,2.03.06.01, Ações Trabalhistas,4,Ambos,221,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
292,2.03.06.02, Ações Civis Diversas,4,Ambos,221,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
293,2.03.06.03, Pensão Alimentícia,4,Ambos,221,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
294,2.03.06.04, Verba de Representação junto a Clientes,4,Ambos,221,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
295,2.03.07.01, Gastos relacionamento cliente,4,Ambos,222,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
296,2.03.07.02, Gastos Marketing,4,Ambos,222,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
297,2.03.08.01, Abastecimento,4,Ambos,223,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
298,2.03.08.02, Locação de Veículo,4,Ambos,223,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
299,2.03.08.03, Seguros,4,Ambos,223,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
300,2.03.08.04, Despachantes,4,Ambos,223,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
301,2.03.08.05, Infrações de Trânsito,4,Ambos,223,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
302,2.03.09.01, Passagens,4,Ambos,224,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
303,2.03.09.02, Hospedagem,4,Ambos,224,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
304,2.03.09.03, Diárias durante viagem/ Reembolsos,4,Ambos,224,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
305,2.03.09.04, Translados,4,Ambos,224,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
306,2.03.09.05, Pedágio/Estacionamento,4,Ambos,224,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
307,2.03.10.01, Tarifas Diversas,4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
308,2.03.10.02, Juros,4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
309,2.03.10.03, Multas e Acréscimos,4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
310,2.03.10.04, Financiamentos (Amortização e Taxas),4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
311,2.03.10.05, Seguros,4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
312,2.03.10.06, Aplicações Financeiras,4,Ambos,225,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
313,2.04.01.01, Devolução de Aporte,4,Ambos,226,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
314,2.04.01.02, Ajustes de conta (não usar),4,Ambos,226,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
315,2.04.01.03, (-) Devolução de Adiantamento a Fornecedores,4,Ambos,226,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
316,2.04.01.04, (-) Anulação de Custos,4,Ambos,226,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
317,2.04.01.05, (-) Reembolso Diversos,4,Ambos,226,1,2025-07-01 13:29:27,2025-07-01 13:29:27,
